Date,Close,High,Low,Open,Volume,MACD,RSI,Pct_Change,MA_5,STD_5,MACD_RSI_Ratio,Change_Pct,Volatility,Sentiment_Score,sentiment_label,Is_News_Day,score_Day
2019-01-31,245.608,246.099,243.188,243.406,104012100,2.8890633403796357,71.12539922676083,0.8781369367889313,242.11579999999998,2.478376525066029,0.04061929172683827,0.9046613477071223,1.4922013659914217,0.0,0.0,0.0,0.0
2019-02-01,245.726,246.763,244.925,245.808,85782500,3.119324510837231,71.15812450153214,0.04804403765350518,242.8946,2.936398951096071,0.0438365194795159,-0.033359369914727606,0.7524212029619204,0.0,0.0,0.0,0.0
2019-02-04,247.455,247.519,245.089,245.772,60744800,3.4021066300181246,77.46951978104016,0.7036292455824933,244.38680000000005,2.989156185279986,0.043915421699190056,0.6847810165519348,1.2199022843381147,0.0,0.0,0.0,0.0
2019-02-05,248.492,248.802,247.382,247.892,79552800,3.6676127731938095,75.8178662037656,0.4190660928249601,246.15019999999998,1.926390977968132,0.0483739909447841,0.24204088877414126,0.6319810123729925,0.0,0.0,0.0,0.0
2019-02-06,248.165,248.711,247.419,248.21,58347800,3.807748779691053,74.07857432158775,-0.13159377364261315,247.08919999999998,1.3519680839415984,0.0514014857138174,-0.01812980943556501,0.5324943661673802,0.0,0.0,0.0,0.0
2019-02-07,245.799,247.082,244.116,246.527,95482000,3.6854080579473987,64.33618608733825,-0.9533979408861026,247.1274,1.3014066620379314,0.057283595470585556,-0.2953023401087833,1.288625365780647,0.0,0.0,0.0,0.0
2019-02-08,246.099,246.199,243.697,244.534,75788900,3.571489736832632,59.16582914572868,0.12205094406405603,247.202,1.2083559078337356,0.06036406129010475,0.6399928026368512,1.2234386989138453,0.0,0.0,0.0,0.0
2019-02-11,246.236,247.027,245.699,246.764,68021400,3.4524655281320804,71.06377901079892,0.0556686536719031,246.95819999999998,1.266140868938675,0.048582633462364,-0.21396962279749882,0.5887707533497161,0.0,0.0,0.0,0.0
2019-02-12,249.402,249.784,247.801,247.874,72270200,3.5724270110233363,75.03474545735322,1.2857583781412885,247.1402,1.5705450327821533,0.04761030359000501,0.6164422246786639,1.0258990772325827,0.0,0.0,0.0,0.0
2019-02-13,250.212,251.067,249.821,250.248,65277200,3.6903178935048118,75.88144611865343,0.3247768662641093,247.5496,2.0865129522714465,0.048632677449694066,-0.014385729356478917,0.5236735624413416,0.0,0.0,0.0,0.0
2019-02-14,249.657,250.803,248.283,249.111,83234400,3.6963541359788508,70.99543869063606,-0.2218119035058197,248.3212,1.9883313858600609,0.052064670690828214,0.2191794019533544,1.0566517874872552,0.0,0.0,0.0,0.0
2019-02-15,252.378,252.414,251.249,251.459,97088700,3.876019520982993,81.72456194282216,1.0898953364015362,249.577,2.2050018140572165,0.04742784089433008,0.3654671338070949,0.6078546975497723,0.0,0.0,0.0,0.0
2019-02-19,252.814,253.478,251.559,251.568,59120800,4.007392463410895,83.45811051693416,0.1727567379090189,250.8926,1.5898115611590755,0.04801681272903693,0.49529351904852,0.9530293367292877,0.0,0.0,0.0,0.0
2019-02-20,253.324,253.788,252.268,252.778,76610800,4.105335452909571,80.13455657492369,0.20172933460964604,251.677,1.6373304492358092,0.051230525610648274,0.21599981011006525,0.6594914707560735,0.0,0.0,0.0,0.0
2019-02-21,252.423,253.042,251.449,252.678,64214700,4.06341231986255,72.54681400119111,-0.3556709984052109,252.1192,1.4279347674157077,0.056010899662607305,-0.10091895614180715,0.6817531322504692,0.0,0.0,0.0,0.0
2019-02-22,253.988,254.188,252.405,253.051,78114600,4.109103172092233,74.94565217391313,0.6199910467746594,252.98540000000003,0.6772117837089389,0.054827772564537344,0.37028108958273703,0.8323176476962761,0.0,0.0,0.0,0.0
2019-02-25,254.334,255.963,254.252,255.435,69030700,4.1256746013651195,72.6625815378534,0.13622690835788376,253.3766,0.7935778474693626,0.05677853049049543,-0.4310294204004929,0.8405533891431232,0.0,0.0,0.0,0.0
2019-02-26,254.152,255.044,253.77,253.979,56844100,4.077123161606124,69.75981008239076,-0.07155944545361725,253.6442,0.7819432204412374,0.05844515856322979,0.06811586784733123,0.5606914629871476,0.0,0.0,0.0,0.0
2019-02-27,254.043,254.398,252.478,253.424,56921600,3.9839261855942993,70.8380601247874,-0.04288772073404168,253.788,0.7744130035026349,0.05623991084137915,0.24425468779594664,0.8410510785122741,0.0,0.0,0.0,0.0
2019-02-28,253.57,254.27,253.242,253.824,69268300,3.827775549851765,81.81967078863318,-0.18618895226398813,254.0174,0.28286003604946297,0.04678307200404355,-0.10006933938477808,0.43364001967839066,0.0,0.0,0.0,0.0
2019-03-01,255.153,255.571,253.697,255.171,78880500,3.7880931366648554,83.5482436638506,0.6242852072406047,254.25039999999998,0.5782121582895213,0.04534018874060277,-0.0070540931375433265,0.8235864658107616,0.0,0.0,0.0,0.0
2019-03-04,254.225,256.472,251.895,256.226,106494600,3.639805284319948,77.96289814490726,-0.36370334661948167,254.2286,0.5763239540343893,0.046686377378567345,-0.7809511915262326,2.126203894267894,0.0,0.0,0.0,0.0
2019-03-05,253.879,254.552,253.324,254.352,59114600,3.4545449409235687,69.52464020933276,-0.13609991149572398,254.17399999999998,0.5979222357412791,0.04968806642540297,-0.18596276026923836,0.5469194791435573,0.0,0.0,0.0,0.0
2019-03-06,252.341,254.006,252.014,253.997,75039800,3.1473404560298377,58.730419092922254,-0.6058004009784068,253.83360000000002,1.0238910098218146,0.05358961343439709,-0.6519762044433618,1.0615210784529892,0.0,0.0,0.0,0.0
