Date,Close,High,Low,Open,Volume,MACD,RSI
27/04/2020,267.696,268.834,265.43,265.896,77896600,3.379,66.667
28/04/2020,266.465,271.753,266.157,271.398,105270000,3.691,65.232
29/04/2020,273.441,274.998,270.829,271.874,118745600,4.45,64.486
30/04/2020,270.895,273.543,269.132,272.042,122901700,4.79,59.481
01/05/2020,263.723,271.063,262.539,266.073,125180000,4.43,55.099
04/05/2020,264.451,264.758,260.31,261.811,80873200,4.156,49.824
05/05/2020,266.894,269.748,264.581,267.314,79569900,4.089,57.126
06/05/2020,265.085,269.011,264.646,268.619,73632600,3.845,54.31
07/05/2020,268.284,270.242,267.771,268.349,75250400,3.865,50.935
08/05/2020,272.723,273.198,270.317,271.464,76452400,4.191,59.801
11/05/2020,272.778,274.177,270.335,270.764,79514200,4.403,70.764
12/05/2020,267.342,274.401,267.202,273.982,95870800,4.086,58.117
13/05/2020,262.613,267.826,260.151,266.773,144721100,3.413,52.438
14/05/2020,265.756,265.887,254.584,260.142,121977900,3.098,51.955
15/05/2020,266.978,267.025,262.371,263.332,111146300,2.913,49.204
18/05/2020,275.11,276.742,272.965,273.291,119703800,3.384,58.308
19/05/2020,272.284,276.238,272.266,274.504,95189300,3.489,48.793
20/05/2020,276.91,277.786,275.642,275.875,85861700,3.9,56.02
21/05/2020,274.998,277.6,273.888,276.779,78293900,4.025,62.612
22/05/2020,275.52,275.697,273.45,274.709,63958200,4.119,62.44
26/05/2020,278.915,281.815,275.539,281.573,88951400,4.417,63.226
27/05/2020,283.065,283.102,276.854,281.75,104817400,4.931,68.814
28/05/2020,282.543,286.152,281.862,284.109,90405200,5.235,65.805
29/05/2020,283.802,284.398,279.279,282.067,119090800,5.515,63.212
01/06/2020,284.949,285.564,282.627,283.149,55758300,5.763,64.145
02/06/2020,287.308,287.355,284.529,285.881,74267200,6.079,74.994
03/06/2020,291.132,292.102,289.043,289.322,92567600,6.563,86.527
04/06/2020,290.367,291.896,288.241,290.134,75794400,6.806,83.567
05/06/2020,297.809,299.609,295.776,295.841,150524700,7.513,85.951
08/06/2020,301.409,301.605,298.079,298.63,73641200,8.268,84.29
09/06/2020,299.161,301.483,297.827,298.704,77479200,8.586,85.58
10/06/2020,297.492,300.653,296.764,299.749,95000800,8.604,79.561
11/06/2020,280.342,291.104,279.782,290.46,209243600,7.152,55.338
12/06/2020,283.699,288.241,278.467,287.457,194678900,6.201,57.732
15/06/2020,286.348,287.495,276.733,277.926,135782700,5.597,57.128
16/06/2020,291.859,294.358,286.926,294.209,137627500,5.499,58.218
17/06/2020,290.647,293.193,289.901,292.894,83398900,5.263,57.477
18/06/2020,290.759,291.244,288.642,289.108,80828700,5.027,56.558
19/06/2020,289.097,294.474,287.121,294.277,135549600,4.652,53.873
22/06/2020,290.952,291.354,287.327,288.488,74649400,4.454,53.434
23/06/2020,292.291,294.586,291.879,293.64,68471200,4.354,51.146
24/06/2020,284.835,290.849,282.971,290.221,132813500,3.632,45.17
25/06/2020,287.889,288.16,282.203,284.254,89468000,3.268,40.619
26/06/2020,281.051,286.989,280.461,286.774,127961000,2.4,31.859
29/06/2020,285.182,285.322,280.002,282.325,79773300,2.022,37.948
30/06/2020,288.835,290.558,284.582,284.741,113394800,1.995,42.783
01/07/2020,290.858,292.141,289.5,289.968,72396500,2.112,61.723
02/07/2020,292.46,295.71,291.785,294.342,69344200,2.308,60.164
06/07/2020,296.974,297.565,295.579,296.337,61713800,2.795,61.818
07/07/2020,293.911,297.415,293.527,295.41,82910000,2.9,52.414
08/07/2020,296.16,296.272,292.9,294.689,54638600,3.129,56.329
09/07/2020,294.473,297.021,291.008,296.778,83354200,3.138,54.116
10/07/2020,297.48,297.752,292.956,294.408,57550400,3.349,59.02
13/07/2020,294.904,302.276,294.239,299.859,102997500,3.271,54.188
14/07/2020,298.726,299.513,292.244,293.462,93657000,3.477,56.478
15/07/2020,301.47,302.585,299.054,301.995,87196500,3.818,68.5
16/07/2020,300.478,300.937,298.885,299.541,54622500,3.963,64.672
17/07/2020,301.349,302.145,299.494,301.499,62774900,4.1,77.479
20/07/2020,303.784,304.543,300.318,301.077,56308800,4.355,76.395
21/07/2020,304.43,306.229,303.428,305.779,57292200,4.557,74.193
22/07/2020,306.163,306.482,303.953,304.065,57792900,4.802,73.959
23/07/2020,302.51,306.51,301.124,305.798,75738000,4.647,64.784
24/07/2020,300.562,301.602,299.035,300.628,73766600,4.318,55.708
27/07/2020,302.754,302.932,300.459,301.264,48293000,4.185,64.47
28/07/2020,300.834,303.147,300.534,302.014,57495000,3.881,57.732
29/07/2020,304.533,305.105,301.686,301.723,48454200,3.893,65.602
30/07/2020,303.447,303.868,299.4,301.517,61861700,3.771,59.84
31/07/2020,305.845,305.948,300.983,305.264,84986800,3.825,68.148
03/08/2020,307.971,308.749,306.978,307.531,53077900,3.992,66.25
04/08/2020,309.161,309.161,307.1,307.1,41917900,4.173,64.298
05/08/2020,311.081,311.343,310.21,310.481,42697700,4.42,69.058
06/08/2020,313.16,313.282,310.163,310.491,43679400,4.729,70.346
07/08/2020,313.385,313.675,311.259,312.177,57308300,4.936,67.901
10/08/2020,314.322,314.509,311.877,313.844,44282100,5.116,68.245
11/08/2020,311.727,316.167,310.987,315.521,69601100,4.992,59.947
12/08/2020,316.073,316.86,314.172,314.2,53774400,5.184,73.661
13/08/2020,315.502,316.832,314.565,315.296,41816100,5.23,77.377
14/08/2020,315.511,316.055,314.369,315.109,47260400,5.208,75.411
17/08/2020,316.514,316.916,315.521,316.542,35481000,5.211,82.417
18/08/2020,317.197,317.628,315.296,316.916,38733900,5.208,79.912
